Energia;Tempo;Bailabilidad;Genero;Volumen ;Vivacidad;Valencia;Hablabilidad;Popularidad;Fecha_lanzamiento;Instrumentalidad;Modo;duration_min;Acustico
0.632;123.987;0.848;hip-hop;-7.381;0.282;0.253;0.277;68;17/11/2023;0;1;28.533;0.398
0.805;142.096;0.548;hip-hop;-5.732;0.408;0.649;0.351;76;26/07/2019;0.000405;1;360.645;0.212
0.631;121.854;0.772;hip-hop;-5.082;0.129;0.433;0.0431;70;13/10/2023;0;1;288.755;0.0648
0.702;125.089;0.871;hip-hop;-8.025;0.0912;0.675;0.253;69;6/12/2019;0;1;21.881;0.296
0.57;142.974;0.787;hip-hop;-5.881;0.135;0.733;0.225;69;12/05/2023;0;1;373.131.666.666.667;0.0449
0.583;116.624;0.709;hip-hop;-5.298;0.195;0.533;0.204;79;2/12/2022;2.97e-06;0;304.445;0.138
0.592;159.98;0.82;hip-hop;-7.002;0.121;0.4;0.29;78;6/03/2020;4.71e-06;1;326.966.666.666.667;0.0149
0.68;144.006;0.85;hip-hop;-6.18;0.0964;0.694;0.338;70;12/03/2021;0;0;288.888.333.333.333;0.732
0.758;165.409;0.681;hip-hop;-6.524;0.555;0.331;0.188;73;12/01/2024;0;1;36.764;0.00465
0.413;131.964;0.772;hip-hop;-8.194;0.111;0.211;0.0891;77;1/01/2012;0;0;410.355;0.0361
0.658;151.951;0.752;hip-hop;-6.297;0.0927;0.387;0.342;70;13/11/2020;0;1;355.866.666.666.667;0.0421
0.732;142.791;0.548;hip-hop;-5.652;0.269;0.612;0.336;71;7/02/2020;0;0;212.578.333.333.333;0.125
0.676;143.477;0.594;hip-hop;-5.808;0.163;0.472;0.344;69;27/12/2019;0;1;301.908.333.333.333;0.135
0.618;99.7;0.49;hip-hop;-5.655;0.259;0.286;0.104;68;3/07/2020;3.77e-06;1;3.36;0.0221
0.35;77.528;0.822;hip-hop;-12.207;0.0757;0.346;0.574;68;11/03/2018;0;0;3.1;0.0213
0.946;150.141;0.804;hip-hop;-5.949;0.359;0.745;0.352;70;31/01/2020;0;1;2.448;0.002
0.626;143.01;0.819;hip-hop;-4.574;0.167;0.415;0.202;78;2/10/2020;0.101;0;32.651;0.00748
0.592;188.051;0.696;hip-hop;-6.281;0.127;0.232;0.319;72;30/10/2020;0;1;204.466.666.666.667;0.152
0.547;138.05;0.92;hip-hop;-4.98;0.0998;0.606;0.272;70;27/11/2020;1.45e-06;0;149.226.666.666.667;0.0241
0.395;76.984;0.793;hip-hop;-5.578;0.109;0.128;0.385;69;30/11/2018;1.4e-05;1;355.478.333.333.333;0.277
0.774;130.007;0.867;hip-hop;-5.791;0.157;0.549;0.315;69;2/02/2018;0;0;237.496.666.666.667;0.11
0.449;136.006;0.578;hip-hop;-6.349;0.119;0.1;0.286;73;5/03/2021;2.17e-06;1;321.593.333.333.333;0.0618
0.673;165.921;0.529;hip-hop;-4.711;0.093;0.366;0.175;80;17/06/2022;2.41e-06;1;363.941.666.666.667;0.000307
0.73;156.953;0.729;hip-hop;-5.14;0.118;0.41;0.261;75;20/09/2019;4.33e-05;0;318.998.333.333.333;0.00165
0.487;127.05;0.964;hip-hop;-6.071;0.115;0.108;0.421;77;30/11/2018;6.07e-06;0;256.706.666.666.667;0.00127
0.732;149.012;0.841;hip-hop;-5.186;0.136;0.576;0.19;73;5/11/2021;2.18e-05;0;239.133.333.333.333;0.0115
0.611;134.093;0.711;hip-hop;-5.453;0.23;0.144;0.33;79;10/09/2021;0;1;420.436.666.666.667;0.00588
0.733;130.029;0.847;hip-hop;-6.439;0.151;0.202;0.16;80;2/10/2020;1.04e-05;0;322.651.666.666.667;0.00574
0.48;143.029;0.846;hip-hop;-8.618;0.0989;0.419;0.359;68;8/05/2020;0;0;282.553.333.333.333;0.269
0.575;120.031;0.88;hip-hop;-6.091;0.109;0.671;0.163;71;2/04/2021;0;1;386.746.666.666.667;0.415
0.727;150.062;0.477;hip-hop;-4.053;0.108;0.227;0.286;70;30/04/2021;0;1;394.206.666.666.667;0.000866
0.495;137.027;0.853;hip-hop;-14.63;0.0844;0.0774;0.14;68;17/06/2022;0.000217;1;40.538;0.0917
0.434;150.062;0.833;hip-hop;-8.795;0.165;0.281;0.431;81;30/06/2017;0.0219;1;3.41;0.0102
0.564;77.972;0.856;hip-hop;-6.295;0.134;0.483;0.392;70;4/12/2020;0;0;2.266;0.00327
0.67;139.956;0.79;hip-hop;-5.527;0.119;0.408;0.105;75;13/05/2022;2.32e-06;1;326.583.333.333.333;0.377
0.733;97.974;0.825;hip-hop;-5.625;0.112;0.62;0.0969;75;2/10/2020;0;0;317.218.333.333.333;0.349
0.567;75.965;0.574;hip-hop;-7.126;0.258;0.526;0.465;78;31/10/2022;0;0;38.323;0.164
0.434;150.062;0.833;hip-hop;-8.795;0.165;0.281;0.431;81;30/06/2017;0.0219;1;3.41;0.0102
0.665;94.329;0.583;hip-hop;-3.885;0.112;0.463;0.18;75;9/09/2024;0;1;258.946.666.666.667;0.314
0.346;119.957;0.963;hip-hop;-9.309;0.108;0.562;0.53;75;18/05/2018;0;0;237.121.666.666.667;0.0355
